url,id,region,province,locality,zip_code,Longitude,Latitude,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state,energy_type,EPC_score,EnergyConsumptionPerSqm,parking_outdoor,parking_indoor,price_per_sqm
https://www.immoweb.be/en/classified/apartment/for-sale/geel/2440/11172717,11172717.0,Flanders,Antwerp,Geel,2440.0,5.0043152,51.1631206,APARTMENT,APARTMENT,209000.0,1.0,61.0,USA_INSTALLED,,-1.0,0,0.0,0,0.0,0.0,2.0,,GOOD,ELECTRIC,C,228.0,,,3426.23
https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/11172669,11172669.0,Flanders,Antwerp,Deurne,2100.0,4.4582564,51.2128495,APARTMENT,APARTMENT,209000.0,2.0,70.0,INSTALLED,,-1.0,1,4.0,0,0.0,0.0,2.0,,GOOD,GAS,F,510.0,,,2985.71
https://www.immoweb.be/en/classified/apartment/for-sale/vilvorde/1800/11172663,11172663.0,Flanders,Flemish Brabant,VILVORDE,1800.0,4.4251352,50.9332119,APARTMENT,APARTMENT,279000.0,3.0,130.0,USA_HYPER_EQUIPPED,,,0,0.0,0,0.0,0.0,2.0,,GOOD,unknown,F,924.0,,1.0,2146.15
https://www.immoweb.be/en/classified/apartment/for-sale/liege%201/4000/11173106,11173106.0,Wallonie,Liège,Liege 1,4000.0,5.5667816,50.634711,APARTMENT,APARTMENT,179000.0,1.0,59.0,INSTALLED,0.0,,0,0.0,0,0.0,0.0,4.0,,unknown,GAS,B,103.0,,1.0,3033.9
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/11173100,11173100.0,Brussels,Brussels,Woluwe-Saint-Lambert,1200.0,4.4296412,50.8449654,APARTMENT,APARTMENT,455000.0,3.0,122.0,HYPER_EQUIPPED,0.0,,1,4.0,0,0.0,0.0,2.0,,unknown,FUELOIL,D,177.0,,,3729.51
https://www.immoweb.be/en/classified/apartment/for-sale/sint-kruis/8310/11173099,11173099.0,Flanders,West Flanders,Sint-Kruis,8310.0,3.247044,51.2133109,APARTMENT,APARTMENT,205000.0,2.0,71.0,SEMI_EQUIPPED,0.0,,0,0.0,0,0.0,0.0,2.0,False,TO_BE_DONE_UP,GAS,C,242.0,,1.0,2887.32
https://www.immoweb.be/en/classified/apartment/for-sale/heusden-zolder/3550/11173095,11173095.0,Flanders,Limburg,Heusden-Zolder,3550.0,5.2845217,51.0396059,APARTMENT,APARTMENT,225000.0,2.0,128.0,HYPER_EQUIPPED,0.0,,1,0.0,0,0.0,0.0,3.0,,GOOD,GAS,C,247.0,2.0,1.0,1757.81
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11173078,11173078.0,Flanders,East Flanders,Gent,9000.0,,,APARTMENT,APARTMENT,369000.0,2.0,63.0,INSTALLED,,-1.0,1,3.0,0,0.0,0.0,2.0,,JUST_RENOVATED,GAS,B,135.0,,,5857.14
https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/10848435,10848435.0,Wallonie,Liège,Liège,4000.0,5.5703376,50.6232483,APARTMENT,APARTMENT,329000.0,2.0,98.0,INSTALLED,0.0,,1,30.0,1,85.0,0.0,2.0,False,AS_NEW,GAS,C,228.0,,,3357.14
https://www.immoweb.be/en/classified/apartment/for-sale/de%20haan/8420/11169287,11169287.0,Flanders,West Flanders,De Haan,8420.0,3.0260735,51.2682601,APARTMENT,APARTMENT,269000.0,2.0,60.0,unknown,,,0,0.0,0,0.0,0.0,2.0,True,GOOD,ELECTRIC,C,260.0,,1.0,4483.33
https://www.immoweb.be/en/classified/ground-floor/for-sale/seilles/5300/11169278,11169278.0,Wallonie,Namur,SEILLES,5300.0,5.0953616,50.4996014,APARTMENT,GROUND_FLOOR,180000.0,1.0,67.0,INSTALLED,,-1.0,1,0.0,0,0.0,0.0,2.0,,AS_NEW,GAS,B,111.0,,1.0,2686.57
https://www.immoweb.be/en/classified/apartment/for-sale/ottignies/1340/11101370,11101370.0,Wallonie,Walloon Brabant,Ottignies,1340.0,,,APARTMENT,APARTMENT,295000.0,2.0,86.0,INSTALLED,,-1.0,1,8.0,0,0.0,0.0,2.0,,AS_NEW,GAS,C,185.0,,1.0,3430.23
